# 3-Component Decay Chain Output
# Input parameters:
#   Half-life A (h): 1.97
#   Half-life B (h): 9.91
#   Na0: 100.0  Nb0: 0.0  Nc0: 0.0
#   tfinal (h): 50.0
#
# t(h)    NA        NB        NC        Total
0.0000   100.000000   -0.000000   0.000000   100.000000
0.0100   99.648767   0.351110   0.000123   100.000000
0.0200   99.298767   0.700742   0.000491   100.000000
0.0300   98.949997   1.048900   0.001103   100.000000
0.0400   98.602452   1.395590   0.001958   100.000000
0.0500   98.256128   1.740818   0.003055   100.000000
0.0600   97.911020   2.084588   0.004393   100.000000
0.0700   97.567124   2.426906   0.005970   100.000000
0.0800   97.224436   2.767777   0.007787   100.000000
0.0900   96.882951   3.107207   0.009842   100.000000
0.1000   96.542666   3.445200   0.012134   100.000000
0.1100   96.203577   3.781762   0.014661   100.000000
0.1200   95.865678   4.116899   0.017423   100.000000
0.1300   95.528966   4.450614   0.020420   100.000000
0.1400   95.193437   4.782914   0.023649   100.000000
0.1500   94.859086   5.113804   0.027110   100.000000
0.1600   94.525909   5.443288   0.030802   100.000000
0.1700   94.193903   5.771373   0.034724   100.000000
0.1800   93.863063   6.098062   0.038875   100.000000
0.1900   93.533385   6.423361   0.043255   100.000000
0.2000   93.204864   6.747275   0.047861   100.000000
0.2100   92.877498   7.069809   0.052693   100.000000
0.2200   92.551282   7.390968   0.057750   100.000000
0.2300   92.226211   7.710757   0.063032   100.000000
0.2400   91.902282   8.029182   0.068536   100.000000
0.2500   91.579491   8.346246   0.074263   100.000000
0.2600   91.257833   8.661955   0.080211   100.000000
0.2700   90.937306   8.976314   0.086380   100.000000
0.2800   90.617904   9.289328   0.092768   100.000000
0.2900   90.299624   9.601002   0.099374   100.000000
0.3000   89.982461   9.911340   0.106198   100.000000
0.3100   89.666413   10.220348   0.113239   100.000000
0.3200   89.351475   10.528030   0.120495   100.000000
0.3300   89.037643   10.834391   0.127966   100.000000
0.3400   88.724913   11.139436   0.135651   100.000000
0.3500   88.413282   11.443169   0.143549   100.000000
0.3600   88.102746   11.745596   0.151658   100.000000
